LINK,SOURCE,PHRASE,TITLE,CONTENT,DATE_ENTERED
www.wsj.com,"""a person familiar with the matter""",Probe of Ex-Aide to Cuomo Moves to SUNY Office - WSJ,http://www.wsj.com/articles/probe-of-ex-aide-to-cuomo-moves-to-suny-office-1464310498,"... at the school with a search warrant for the office and took a computer and  handwritten notes, among other items, according to <b>a person familiar with the</b>  <b>matter</b>.",2016-05-27
www.bloomberg.com,"""people briefed on the matter""",Goldman Sachs Sees Malaysian Deals Evaporate Amid 1MDB ...,http://www.bloomberg.com/news/articles/2016-05-24/goldman-sachs-sees-malaysian-deals-evaporate-amid-1mdb-concerns,"... of thousands of dollars from a former 1MDB employee to a start-up company  which Leissner was backing, according to other <b>people briefed on the matter</b>.",2016-05-27
www.bloomberg.com,"""people briefed on the matter""",1MDB Pays Fine Imposed by Malaysian Central Bank After Probe ...,http://www.bloomberg.com/news/articles/2016-05-25/1mdb-pays-fine-imposed-by-malaysian-central-bank-after-probe,"... of thousands of dollars from a former 1MDB employee to a start-up company  which Leissner was backing, according to other <b>people briefed on the matter</b>.",2016-05-27
www.bloomberg.com,"""official briefed on the matter""",FCC Opens Debate on Sharing Airwaves Now Set for Use by Vehicles,http://www.bloomberg.com/news/articles/2016-05-26/fcc-opens-debate-on-sharing-airwaves-now-set-for-use-by-vehicles,"The Federal Communications Commission has voted to call for comments on the  issue, an <b>official briefed on the matter</b> said. The agency with the same vote&nbsp;...",2016-05-27
abcnews.go.com,"""a person close to""",Feds Question Alabama Governor&#39;s Ex-Law Enforcement Chief ...,http://abcnews.go.com/US/wireStory/feds-question-alabama-governors-law-enforcement-chief-39378554,<b>A person close to</b> the administration who also was questioned told The  Associated Press FBI agents asked about the use of state grants and other  resources.,2016-05-27
www.wsj.com,"""a person close to""",Donald Trump Raised $6 Million in First Joint Fundraiser With RNC ...,http://www.wsj.com/articles/donald-trump-raised-6-million-in-first-joint-fundraiser-with-rnc-1464385144,"... $6 million for his joint fund with the Republican National Committee at his first  official fundraiser on Wednesday, <b>a person close to</b> the campaign confirmed.",2016-05-27
www.bloomberg.com,"""a person close to""",Chinese Purchases of Hong Kong Insurance Under Further Scrutiny ...,http://www.bloomberg.com/news/articles/2016-05-23/hong-kong-mulls-steps-to-regulate-chinese-insurance-purchases,"... promote foreign insurance products on the mainland through such means as  organizing investment seminars, Caixin said, citing <b>a person close to</b> regulators.",2016-05-27
www.foxnews.com,"""administration officials said""",&#39;Career killer&#39;: Obama&#39;s new overtime expansion under fire | Fox News,http://www.foxnews.com/politics/2016/05/18/career-killer-obamas-new-overtime-expansion-under-fire.html,"The overtime threshold was last updated in 2004 and now covers just 7 percent  of full-time, salaried workers, <b>administration officials said</b>. That&#39;s down from 62&nbsp;...",2016-05-27
www.nytimes.com,"""a state department official said""",E-Mail - The New York Times,http://www.nytimes.com/topic/subject/email,"<b>A State Department official said</b> that although using a personal email account to  conduct business, as Hillary Clinton did, wasn&#39;t explicitly prohibited, records&nbsp;...",2016-05-27
www.buzzfeed.com,"""a state department official said""",Obama Is Keeping His Distance So Far From Brazil&#39;s Interim President,https://www.buzzfeed.com/gracilianorocha/obama-maintans-distance-in-relationship-with-miche,"When asked for comment, <b>a State Department official said</b> they had no  information as to whether Kerry intended to meet with Brazil&#39;s new foreign  minister, José&nbsp;...",2016-05-27
